respondent_id,pre_college_sport_1,pre_college_sport_1_level,pre_college_sport_1_skill,pre_college_sport_2,pre_college_sport_2_level,pre_college_sport_2_skill,pre_college_sport_3,pre_college_sport_3_level,pre_college_sport_3_skill,pre_college_other_sports,im_badminton_experience,im_badminton_skill,im_basketball_experience,im_basketball_skill,im_billiards_experience,im_billiards_skill,im_broomball_experience,im_broomball_skill,im_climbing_experience,im_climbing_skill,im_dodgeball_experience,im_dodgeball_skill,im_flag_football_experience,im_flag_football_skill,im_foosball_experience,im_foosball_skill,im_inner_tube_water_polo_experience,im_inner_tube_water_polo_skill,im_pickleball_experience,im_pickleball_skill,im_ping_pong_experience,im_ping_pong_skill,im_river_run_experience,im_river_run_skill,im_soccer_experience,im_soccer_skill,im_softball_experience,im_softball_skill,im_spikeball_experience,im_spikeball_skill,im_squash_experience,im_squash_skill,im_tennis_experience,im_tennis_skill,im_ultimate_frisbee_experience,im_ultimate_frisbee_skill,im_volleyball_experience,im_volleyball_skill,is_varsity,varsity_sport
1,,,,,,,,,,,Never played,,Never played,,Never played,,Never played,,1 season,7,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,1 season,5,Never played,,2+ seasons,6,no,
2,,,,,,,,,,,Never played,,1 season,3,Never played,,Never played,,2+ seasons,5,Never played,,Never played,,1 season,3,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
3,Track & Field,HS Varsity,6,,,,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,6,Never played,,1 season,4,1 season,5,Never played,,Never played,,Never played,,1 season,6,1 season,4,Never played,,1 season,7,Never played,,Never played,,no,
4,Track & Field,HS JV,6,Basketball,HS Varsity,7,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,5,Never played,,2+ seasons,7,Never played,,2+ seasons,7,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,7,no,
5,Swimming,Casual,7,,,,,,,,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,1 season,5,Never played,,Never played,,1 season,5,1 season,6,Never played,,1 season,4,1 season,7,Never played,,1 season,6,1 season,6,Never played,,Never played,,no,
6,Basketball,Casual,5,,,,,,,,Never played,,Never played,,Never played,,2+ seasons,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,1 season,6,Never played,,Never played,,Never played,,no,
7,Tennis,HS Varsity,8,Crew,Casual,5,,,,,Never played,,Never played,,Never played,,Never played,,2+ seasons,8,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,1 season,5,2+ seasons,7,1 season,9,1 season,5,no,
8,Swimming,HS Varsity,8,,,,,,,,Never played,,2+ seasons,7,Never played,,1 season,4,2+ seasons,7,2+ seasons,5,Never played,,Never played,,2+ seasons,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,7,Never played,,Never played,,Never played,,yes,Swimming & Diving
9,Soccer,HS Varsity,10,,,,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,8,Never played,,Never played,,2+ seasons,8,Never played,,Never played,,1 season,5,no,
10,Tennis,Casual,5,Baseball,HS Varsity,6,Lacrosse,Casual,5,,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,1 season,5,Never played,,no,
11,Swimming,Casual,5,Ice Hockey,HS Varsity,8,,,,,Never played,,1 season,5,Never played,,Never played,,1 season,5,1 season,7,Never played,,Never played,,Never played,,1 season,3,1 season,4,Never played,,1 season,6,1 season,8,1 season,5,Never played,,Never played,,Never played,,1 season,6,no,
12,Football (American),Casual,1,,,,,,,,1 season,6,1 season,4,Never played,,Never played,,1 season,5,Never played,,Never played,,1 season,6,2+ seasons,7,Never played,,2+ seasons,9,Never played,,1 season,8,Never played,,2+ seasons,10,Never played,,Never played,,Never played,,Never played,,no,
13,Swimming,Casual,3,Lacrosse,Casual,3,,,,,1 season,3,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,no,
14,Soccer,Casual,1,Swimming,HS JV,4,,,,,Never played,,Never played,,Never played,,1 season,4,1 season,6,Never played,,Never played,,Never played,,1 season,6,1 season,5,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,no,
15,Track & Field,HS Varsity,10,,,,,,,,1 season,5,Never played,,Never played,,Never played,,2+ seasons,7,Never played,,1 season,5,Never played,,1 season,3,Never played,,2+ seasons,3,1 season,3,Never played,,1 season,4,Never played,,1 season,5,Never played,,Never played,,Never played,,no,
16,Cross Country,Casual,2,Soccer,Casual,4,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,7,Never played,,Never played,,1 season,5,Never played,,Never played,,1 season,4,1 season,7,no,
17,Cross Country,Casual,4,Basketball,Casual,5,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,5,Never played,,no,
18,Track & Field,Casual,6,Ping Pong,Casual,4,Baseball,HS Varsity,7,,1 season,3,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,1 season,7,2+ seasons,7,Never played,,Never played,,2+ seasons,7,Never played,,Never played,,no,
19,Volleyball,HS Varsity,10,Crew,HS JV,7,,,,,Never played,,2+ seasons,7,Never played,,Never played,,Never played,,Never played,,1 season,4,1 season,8,Never played,,1 season,8,Never played,,Never played,,Never played,,2+ seasons,7,Never played,,Never played,,Never played,,Never played,,Never played,,yes,Volleyball
20,Soccer,HS Varsity,10,Track & Field,Casual,3,Basketball,HS Varsity,7,,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,1 season,8,Never played,,Never played,,Never played,,1 season,4,Never played,,1 season,3,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
21,Lacrosse,Casual,4,,,,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,2+ seasons,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,7,no,
22,Basketball,HS Varsity,5,Cross Country,Casual,4,,,,,Never played,,Never played,,Never played,,1 season,2,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,7,Never played,,1 season,3,Never played,,Never played,,Never played,,Never played,,1 season,4,no,
23,Cross Country,HS JV,5,,,,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,2,1 season,4,1 season,4,Never played,,no,
24,Ice Hockey,HS Varsity,9,Track & Field,HS Varsity,8,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,3,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,7,1 season,2,2+ seasons,5,Never played,,Never played,,Never played,,1 season,3,no,
25,Swimming,HS JV,5,,,,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,1 season,7,1 season,4,Never played,,Never played,,2+ seasons,6,Never played,,Never played,,2+ seasons,6,Never played,,Never played,,Never played,,1 season,4,no,
